[17-04-2015 08:39:37]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 08:39:41]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:39:41]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 08:39:41]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 08:39:41]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:39:41]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 08:39:41]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 08:39:50]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:39:50]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 08:39:50]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 08:39:50]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:39:50]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 08:39:50]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 08:39:50]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:39:50]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 08:39:50]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 08:40:24]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:40:24]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 08:40:24]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 08:40:24]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:40:24]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 08:40:24]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 08:40:24]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:40:24]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 08:40:24]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 08:41:29]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:41:30]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:41:30]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:55:23]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:55:23]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:55:23]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:55:23]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:55:24]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:55:24]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:55:24]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:55:24]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:55:24]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:55:25]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:55:25]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:55:25]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:55:25]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:55:26]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:55:26]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:55:26]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:55:26]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:55:26]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:55:27]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:55:27]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:55:27]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:55:27]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:59:39]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 08:59:39]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:07:46]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:07:46]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:26:36]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:26:36]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:26:45]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:26:46]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:26:56]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:26:56]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:26:56]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:27:56]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:27:56]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 09:27:56]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 09:27:56]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:27:56]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 09:27:56]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 09:28:20]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:28:20]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:28:23]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:28:23]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:28:24]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:28:35]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:28:35]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:28:36]:[ControllerRol][getRolById]:Buscando id:1
